"Vgate","Ichannel"
0.0,-2.18e-06
0.01,-3.17e-06
0.02,-1.727e-05
0.03,-2.62e-05
0.04,-3.39e-05
0.05,-4.18e-05
0.06,-4.97e-05
0.07,-5.76e-05
0.08,-6.54e-05
0.09,-7.33e-05
0.1,-8.11e-05
0.11,-8.9e-05
0.12,-9.69e-05
0.13,-0.0001048
0.14,-0.0001127
0.15,-0.0001205
0.16,-0.0001284
0.17,-0.0001364
0.18,-0.0001443
0.19,-0.0001522
0.2,-0.0001603
0.21,-0.0001683
0.22,-0.0001763
0.23,-0.0001842
0.24,-0.0001923
0.25,-0.000198
0.26,-0.000207
0.27,-0.000215
0.28,-0.000224
0.29,-0.000232
0.3,-0.00024
0.31,-0.000248
0.32,-0.000257
0.33,-0.000265
0.34,-0.000273
0.35,-0.000281
0.36,-0.00029
0.37,-0.000298
0.38,-0.000306
0.39,-0.000315
0.4,-0.000323
0.41,-0.000332
0.42,-0.00034
0.43,-0.000349
0.44,-0.000357
0.45,-0.000366
0.46,-0.000375
0.47,-0.000383
0.48,-0.000392
0.49,-0.000401
0.5,-0.00041
0.51,-0.000419
0.52,-0.000428
0.53,-0.000437
0.54,-0.000445
0.55,-0.000455
0.56,-0.000464
0.57,-0.000473
0.58,-0.000482
0.59,-0.000491
0.6,-0.0005
0.61,-0.000509
0.62,-0.000518
0.63,-0.000527
0.64,-0.000537
0.65,-0.000547
0.66,-0.000557
0.67,-0.000567
0.68,-0.000576
0.69,-0.000586
0.7,-0.000597
0.71,-0.000607
0.72,-0.000617
0.73,-0.000627
0.74,-0.000638
0.75,-0.000648
0.76,-0.000659
0.77,-0.00067
0.78,-0.000681
0.79,-0.000691
0.8,-0.000702
0.81,-0.000713
0.82,-0.000725
0.83,-0.000736
0.84,-0.000747
0.85,-0.000759
0.86,-0.000771
0.87,-0.000783
0.88,-0.000794
0.89,-0.000808
0.9,-0.000819
0.91,-0.000832
0.92,-0.000844
0.93,-0.000857
0.94,-0.000869
0.95,-0.000881
0.96,-0.000894
0.97,-0.000908
0.98,-0.00092
0.99,-0.000934
1.0,-0.000948
1.01,-0.00096
1.02,-0.000974
1.03,-0.000988
1.04,-0.001002
1.05,-0.001015
1.06,-0.00103
1.07,-0.001043
1.08,-0.001058
1.09,-0.001072
1.1,-0.001087
1.11,-0.001101
1.12,-0.001116
1.13,-0.001131
1.14,-0.001145
1.15,-0.00116
1.16,-0.001176
1.17,-0.001191
1.18,-0.001206
1.19,-0.001221
1.2,-0.001236
1.21,-0.001252
1.22,-0.001267
1.23,-0.001283
1.24,-0.001299
1.25,-0.001315
1.26,-0.001331
1.27,-0.001347
1.28,-0.001363
1.29,-0.00138
1.3,-0.001396
1.31,-0.001413
1.32,-0.001429
1.33,-0.001445
1.34,-0.001462
1.35,-0.001479
1.36,-0.001496
1.37,-0.001514
1.38,-0.001531
1.39,-0.001549
1.4,-0.001567
1.41,-0.001584
1.42,-0.001602
1.43,-0.001618
1.44,-0.001636
1.45,-0.001654
1.46,-0.001672
1.47,-0.00169
1.48,-0.001708
1.49,-0.001727
1.5,-0.001745
1.51,-0.001764
1.52,-0.001784
1.53,-0.001802
1.54,-0.001821
1.55,-0.00184
1.56,-0.001858
1.57,-0.001877
1.58,-0.001896
1.59,-0.001915
1.6,-0.001934
1.61,-0.001954
1.62,-0.001973
1.63,-0.001993
1.64,-0.00199
1.65,-0.00201
1.66,-0.00203
1.67,-0.00204
1.68,-0.00206
1.69,-0.00208
1.7,-0.0021
1.71,-0.00212
1.72,-0.00214
1.73,-0.00216
1.74,-0.00218
1.75,-0.0022
1.76,-0.00223
1.77,-0.00225
1.78,-0.00227
1.79,-0.00229
1.8,-0.00231
1.81,-0.00233
1.82,-0.00235
1.83,-0.00237
1.84,-0.00239
1.85,-0.00241
1.86,-0.00244
1.87,-0.00246
1.88,-0.00248
1.89,-0.0025
1.9,-0.00252
1.91,-0.00255
1.92,-0.00257
1.93,-0.00259
1.94,-0.00261
1.95,-0.00263
1.96,-0.00266
1.97,-0.00268
1.98,-0.0027
1.99,-0.00272
2.0,-0.00275
2.01,-0.00278
2.02,-0.00282
2.03,-0.00284
2.04,-0.00287
2.05,-0.00289
2.06,-0.00291
2.07,-0.00294
2.08,-0.00296
2.09,-0.00298
2.1,-0.00301
2.11,-0.00303
2.12,-0.00305
2.13,-0.00308
2.14,-0.0031
2.15,-0.00313
2.16,-0.00315
2.17,-0.00318
2.18,-0.0032
2.19,-0.00323
2.2,-0.00325
2.21,-0.00327
2.22,-0.0033
2.23,-0.00332
2.24,-0.00335
2.25,-0.00337
2.26,-0.0034
2.27,-0.00343
2.28,-0.00345
2.29,-0.00348
2.3,-0.0035
2.31,-0.00353
2.32,-0.00355
2.33,-0.00358
2.34,-0.0036
2.35,-0.00363
2.36,-0.00366
2.37,-0.00368
2.38,-0.00371
2.39,-0.00374
2.4,-0.00376
2.41,-0.00379
2.42,-0.00382
2.43,-0.00384
2.44,-0.00387
2.45,-0.0039
2.46,-0.00392
2.47,-0.00395
2.48,-0.00398
2.49,-0.00401
2.5,-0.00403
2.51,-0.00406
2.52,-0.00409
2.53,-0.00412
2.54,-0.00415
2.55,-0.00417
2.56,-0.0042
2.57,-0.00423
2.58,-0.00426
2.59,-0.00429
2.6,-0.00432
2.61,-0.00435
2.62,-0.00437
2.63,-0.0044
2.64,-0.00443
2.65,-0.00446
2.66,-0.00449
2.67,-0.00452
2.68,-0.00455
2.69,-0.00458
2.7,-0.00461
2.71,-0.00464
2.72,-0.00467
2.73,-0.0047
2.74,-0.00473
2.75,-0.00476
2.76,-0.0048
2.77,-0.00483
2.78,-0.00486
2.79,-0.00489
2.8,-0.00492
2.81,-0.00495
2.82,-0.00499
2.83,-0.00502
2.84,-0.00505
2.85,-0.00508
2.86,-0.00511
2.87,-0.00515
2.88,-0.00518
2.89,-0.00521
2.9,-0.00525
2.91,-0.00528
2.92,-0.00532
2.93,-0.00535
2.94,-0.00539
2.95,-0.00542
2.96,-0.00546
2.97,-0.00549
2.98,-0.00553
2.99,-0.00557
3.0,-0.0056
3.01,-0.00564
3.02,-0.00568
3.03,-0.00571
3.04,-0.00575
3.05,-0.00579
3.06,-0.00583
3.07,-0.00587
3.08,-0.00591
3.09,-0.00594
3.1,-0.00598
3.11,-0.00602
3.12,-0.00606
3.13,-0.0061
3.14,-0.00614
3.15,-0.00618
3.16,-0.00622
3.17,-0.00627
3.18,-0.00631
3.19,-0.00635
3.2,-0.00639
3.21,-0.00644
3.22,-0.00648
3.23,-0.00652
3.24,-0.00657
3.25,-0.00661
3.26,-0.00665
3.27,-0.0067
3.28,-0.00675
3.29,-0.00679
3.3,-0.00684
3.31,-0.00688
3.32,-0.00693
3.33,-0.00698
3.34,-0.00702
3.35,-0.00707
3.36,-0.00711
3.37,-0.00716
3.38,-0.00721
3.39,-0.00726
3.4,-0.00731
3.41,-0.00736
3.42,-0.00741
3.43,-0.00746
3.44,-0.00751
3.45,-0.00756
3.46,-0.00761
3.47,-0.00766
3.48,-0.00771
3.49,-0.00777
3.5,-0.00782
3.51,-0.00788
3.52,-0.00793
3.53,-0.00799
3.54,-0.00804
3.55,-0.00809
3.56,-0.00815
3.57,-0.00821
3.58,-0.00827
3.59,-0.00832
3.6,-0.00838
3.61,-0.00843
3.62,-0.00849
3.63,-0.00855
3.64,-0.00861
3.65,-0.00867
3.66,-0.00872
3.67,-0.00878
3.68,-0.00884
3.69,-0.0089
3.7,-0.00896
3.71,-0.00902
3.72,-0.00908
3.73,-0.00915
3.74,-0.00921
3.75,-0.00927
3.76,-0.00933
3.77,-0.0094
3.78,-0.00946
3.79,-0.00952
3.8,-0.00959
3.81,-0.00965
3.82,-0.00972
3.83,-0.00978
3.84,-0.00985
3.85,-0.00991
3.86,-0.00998
3.87,-0.01004
3.88,-0.01011
3.89,-0.01017
3.9,-0.01024
3.91,-0.01031
3.92,-0.01037
3.93,-0.01044
3.94,-0.01051
3.95,-0.01058
3.96,-0.01064
3.97,-0.01071
3.98,-0.01078
3.99,-0.01085
4.0,-0.01092
4.01,-0.01112
4.02,-0.01119
4.03,-0.01126
4.04,-0.01133
4.05,-0.0114
4.06,-0.01148
4.07,-0.01155
4.08,-0.01162
4.09,-0.01169
4.1,-0.01176
4.11,-0.01183
4.12,-0.01191
4.13,-0.01198
4.14,-0.01205
4.15,-0.01212
4.16,-0.0122
4.17,-0.01227
4.18,-0.01235
4.19,-0.01242
4.2,-0.0125
4.21,-0.01257
4.22,-0.01265
4.23,-0.01272
4.24,-0.0128
4.25,-0.01287
4.26,-0.01295
4.27,-0.01303
4.28,-0.0131
4.29,-0.01318
4.3,-0.01326
4.31,-0.01334
4.32,-0.01342
4.33,-0.01349
4.34,-0.01357
4.35,-0.01364
4.36,-0.01372
4.37,-0.0138
4.38,-0.01388
4.39,-0.01396
4.4,-0.01403
4.41,-0.01411
4.42,-0.01419
4.43,-0.01427
4.44,-0.01435
4.45,-0.01443
4.46,-0.0145
4.47,-0.01458
4.48,-0.01466
4.49,-0.01474
4.5,-0.01482
4.51,-0.0149
4.52,-0.01498
4.53,-0.01506
4.54,-0.01514
4.55,-0.01522
4.56,-0.01529
4.57,-0.01537
4.58,-0.01545
4.59,-0.01553
4.6,-0.01561
4.61,-0.0157
4.62,-0.01577
4.63,-0.01585
4.64,-0.01593
4.65,-0.01601
4.66,-0.0161
4.67,-0.01617
4.68,-0.01626
4.69,-0.01634
4.7,-0.01641
4.71,-0.0165
4.72,-0.01658
4.73,-0.01666
4.74,-0.01674
4.75,-0.01682
4.76,-0.0169
4.77,-0.01698
4.78,-0.01706
4.79,-0.01714
4.8,-0.01721
4.81,-0.01728
4.82,-0.0173
4.83,-0.01731
4.84,-0.01732
4.85,-0.01732
4.86,-0.01732
4.87,-0.01732
4.88,-0.01732
4.89,-0.01733
4.9,-0.01733
4.91,-0.01733
4.92,-0.01733
4.93,-0.01733
4.94,-0.01733
4.95,-0.01733
4.96,-0.01733
4.97,-0.01733
4.98,-0.01733
4.99,-0.01733
5.0,-0.01734
