"VGate","I_10_Single","I_dd_Single","I_10_Series","I_dd_Series","I_10_Paralle","I_dd_Parallel"
0.0,-1.3e-09,-69,-2.8e-09,-69,5.18e-08,-69
0.01,8e-10,-69,2.6e-09,-69,3.05e-08,-69
0.02,3.5e-09,-69,7.7e-09,-69,2.86e-08,-69
0.03,6e-09,-69,1.24e-08,-69,2.79e-08,-69
0.04,8.8e-09,-69,1.83e-08,-69,2.79e-08,-69
0.05,1.14e-08,-69,2.4e-08,-69,2.89e-08,-69
0.06,1.44e-08,-69,2.9e-08,-69,3.02e-08,-69
0.07,1.68e-08,-69,3.44e-08,-69,3.16e-08,-69
0.08,1.99e-08,-69,4.01e-08,-69,3.3e-08,-69
0.09,2.26e-08,-69,4.53e-08,-69,3.49e-08,-69
0.1,2.55e-08,-69,5.14e-08,-69,3.71e-08,-69
0.11,2.86e-08,-69,5.73e-08,-69,3.94e-08,-69
0.12,3.16e-08,-69,6.02e-08,-69,4.12e-08,-69
0.13,3.46e-08,-69,6.97e-08,-69,4.4e-08,-69
0.14,3.71e-08,-69,7.56e-08,-69,4.66e-08,-69
0.15,4.1e-08,-69,8.16e-08,-69,4.84e-08,-69
0.16,4.41e-08,-69,8.69e-08,-69,5.13e-08,-69
0.17,4.72e-08,-69,9.34e-08,-69,5.34e-08,-69
0.18,5.1e-08,-69,9.95e-08,-69,5.62e-08,-69
0.19,5.41e-08,-69,1.061e-07,-69,5.85e-08,-69
0.2,5.84e-08,-69,1.127e-07,-69,6.07e-08,-69
0.21,6.17e-08,-69,1.191e-07,-69,6.36e-08,-69
0.22,6.57e-08,-69,1.261e-07,-69,6.64e-08,-69
0.23,6.96e-08,-69,1.328e-07,-69,6.9e-08,-69
0.24,7.41e-08,-69,1.398e-07,-69,7.18e-08,-69
0.25,7.78e-08,-69,1.464e-07,-69,7.45e-08,-69
0.26,8.21e-08,-69,1.537e-07,-69,7.73e-08,-69
0.27,8.68e-08,-69,1.606e-07,-69,8.03e-08,-69
0.28,9.15e-08,-69,1.68e-07,-69,8.31e-08,-69
0.29,9.52e-08,-69,1.751e-07,-69,8.6e-08,-69
0.3,1.003e-07,-69,1.825e-07,-69,8.93e-08,-69
0.31,1.044e-07,-69,1.9e-07,-69,9.23e-08,-69
0.32,1.092e-07,-69,1.973e-07,-69,9.62e-08,-69
0.33,1.138e-07,-69,2.06e-07,-69,9.94e-08,-69
0.34,1.189e-07,-69,2.13e-07,-69,1.033e-07,-69
0.35,1.23e-07,-69,2.19e-07,-69,1.07e-07,-69
0.36,1.279e-07,-69,2.26e-07,-69,1.112e-07,-69
0.37,1.325e-07,-69,2.33e-07,-69,1.158e-07,-69
0.38,1.371e-07,-69,2.39e-07,-69,1.215e-07,-69
0.39,1.42e-07,-69,2.46e-07,-69,1.276e-07,-69
0.4,1.463e-07,-69,2.51e-07,-69,1.34e-07,-69
0.41,1.497e-07,-69,2.55e-07,-69,1.429e-07,-69
0.42,1.532e-07,-69,2.6e-07,-69,1.527e-07,-69
0.43,1.558e-07,-69,2.62e-07,-69,1.641e-07,-69
0.44,1.578e-07,-69,2.63e-07,-69,1.777e-07,-69
0.45,1.596e-07,-69,2.63e-07,-69,1.946e-07,-69
0.46,1.597e-07,-69,2.58e-07,-69,2.18e-07,-69
0.47,1.58e-07,-69,2.52e-07,-69,2.43e-07,-69
0.48,1.547e-07,-69,2.41e-07,-69,2.74e-07,-69
0.49,1.5e-07,-69,2.27e-07,-69,3.14e-07,-69
0.5,1.421e-07,-69,2.04e-07,-69,3.62e-07,-69
0.51,1.318e-07,-69,1.81e-07,-69,4.16e-07,-69
0.52,1.171e-07,-69,1.47e-07,-69,4.55e-07,-69
0.53,9.99e-08,-69,1.06e-07,-69,4.73e-07,-69
0.54,7.87e-08,-69,5.23e-08,-69,4.81e-07,-69
0.55,5.37e-08,-69,-1e-09,-69,4.83e-07,-69
0.56,2.46e-08,-69,-5.86e-08,-69,4.81e-07,-69
0.57,-8.7e-09,-69,-1.222e-07,-69,4.76e-07,-69
0.58,-4.5e-08,-69,-1.887e-07,-69,4.66e-07,-69
0.59,-8.34e-08,-69,-3.25e-07,-69,4.53e-07,-69
0.6,-1.245e-07,-69,-4.24e-07,-69,4.39e-07,-69
0.61,-1.673e-07,-69,-5.32e-07,-69,4.22e-07,-69
0.62,-2.56e-07,-69,-6.45e-07,-69,4.03e-07,-69
0.63,-3.15e-07,-69,-7.66e-07,-69,3.82e-07,-69
0.64,-3.8e-07,-69,-8.91e-07,-69,3.6e-07,-69
0.65,-4.48e-07,-69,-1.022e-06,-69,3.34e-07,-69
0.66,-5.18e-07,-69,-1.157e-06,-69,3.07e-07,-69
0.67,-5.9e-07,-69,-1.293e-06,-69,2.79e-07,-69
0.68,-6.63e-07,-69,-1.431e-06,-69,2.5e-07,-69
0.69,-7.39e-07,-69,-1.571e-06,-69,2.2e-07,-69
0.7,-8.14e-07,-69,-1.713e-06,-69,1.9e-07,-69
0.71,-8.91e-07,-69,-1.851e-06,-69,1.58e-07,-69
0.72,-9.67e-07,-69,-1.992e-06,-69,1.27e-07,-69
0.73,-1.044e-06,-69,-2.39e-06,-69,7.64e-08,-69
0.74,-1.122e-06,-69,-2.55e-06,-69,5.03e-08,-69
0.75,-1.198e-06,-69,-2.72e-06,-69,2.54e-08,-69
0.76,-1.275e-06,-69,-2.89e-06,-69,-1.1e-09,-69
0.77,-1.35e-06,-69,-3.06e-06,-69,-2.6e-08,-69
0.78,-1.427e-06,-69,-3.24e-06,-69,-4.81e-08,-69
0.79,-1.503e-06,-69,-3.4e-06,-69,-7.19e-08,-69
0.8,-1.577e-06,-69,-3.58e-06,-69,-9.41e-08,-69
0.81,-1.652e-06,-69,-3.75e-06,-69,-1.153e-07,-69
0.82,-1.726e-06,-69,-3.92e-06,-69,-1.365e-07,-69
0.83,-1.799e-06,-69,-4.09e-06,-69,-1.572e-07,-69
0.84,-1.87e-06,-69,-4.26e-06,-69,-1.77e-07,-69
0.85,-1.945e-06,-69,-4.42e-06,-69,-1.971e-07,-69
0.86,-2.25e-06,-69,-4.6e-06,-69,-3.22e-07,-69
0.87,-2.33e-06,-69,-4.77e-06,-69,-3.54e-07,-69
0.88,-2.41e-06,-69,-4.94e-06,-69,-3.83e-07,-69
0.89,-2.49e-06,-69,-5.11e-06,-69,-4.13e-07,-69
0.9,-2.58e-06,-69,-5.28e-06,-69,-4.44e-07,-69
0.91,-2.66e-06,-69,-5.44e-06,-69,-4.74e-07,-69
0.92,-2.74e-06,-69,-5.6e-06,-69,-5.05e-07,-69
0.93,-2.83e-06,-69,-5.76e-06,-69,-5.32e-07,-69
0.94,-2.91e-06,-69,-5.92e-06,-69,-5.61e-07,-69
0.95,-2.99e-06,-69,-6.08e-06,-69,-5.91e-07,-69
0.96,-3.07e-06,-69,-6.25e-06,-69,-6.19e-07,-69
0.97,-3.16e-06,-69,-6.4e-06,-69,-6.46e-07,-69
0.98,-3.24e-06,-69,-6.57e-06,-69,-6.74e-07,-69
0.99,-3.32e-06,-69,-6.73e-06,-69,-7.02e-07,-69
1.0,-3.4e-06,-69,-6.88e-06,-69,-7.3e-07,-69
1.01,-3.48e-06,-69,-7.06e-06,-69,-7.57e-07,-69
1.02,-3.56e-06,-69,-7.2e-06,-69,-7.83e-07,-69
1.03,-3.64e-06,-69,-7.36e-06,-69,-8.09e-07,-69
1.04,-3.72e-06,-69,-7.5e-06,-69,-8.35e-07,-69
1.05,-3.8e-06,-69,-7.66e-06,-69,-8.61e-07,-69
1.06,-3.88e-06,-69,-7.82e-06,-69,-8.84e-07,-69
1.07,-3.95e-06,-69,-7.96e-06,-69,-9.09e-07,-69
1.08,-4.02e-06,-69,-8.1e-06,-69,-9.36e-07,-69
1.09,-4.11e-06,-69,-8.26e-06,-69,-9.6e-07,-69
1.1,-4.18e-06,-69,-8.4e-06,-69,-9.82e-07,-69
1.11,-4.26e-06,-69,-8.55e-06,-69,-1.008e-06,-69
1.12,-4.34e-06,-69,-8.7e-06,-69,-1.031e-06,-69
1.13,-4.41e-06,-69,-8.85e-06,-69,-1.055e-06,-69
1.14,-4.48e-06,-69,-9e-06,-69,-1.077e-06,-69
1.15,-4.56e-06,-69,-9.14e-06,-69,-1.1e-06,-69
1.16,-4.63e-06,-69,-9.28e-06,-69,-1.124e-06,-69
1.17,-4.7e-06,-69,-9.43e-06,-69,-1.144e-06,-69
1.18,-4.78e-06,-69,-9.57e-06,-69,-1.166e-06,-69
1.19,-4.84e-06,-69,-9.71e-06,-69,-1.188e-06,-69
1.2,-4.91e-06,-69,-9.85e-06,-69,-1.21e-06,-69
1.21,-4.98e-06,-69,-9.99e-06,-69,-1.232e-06,-69
1.22,-5.05e-06,-69,-1.011e-05,-69,-1.253e-06,-69
1.23,-5.13e-06,-69,-1.025e-05,-69,-1.272e-06,-69
1.24,-5.19e-06,-69,-1.038e-05,-69,-1.293e-06,-69
1.25,-5.26e-06,-69,-1.052e-05,-69,-1.31e-06,-69
1.26,-5.32e-06,-69,-1.065e-05,-69,-1.332e-06,-69
1.27,-5.4e-06,-69,-1.078e-05,-69,-1.352e-06,-69
1.28,-5.46e-06,-69,-1.093e-05,-69,-1.372e-06,-69
1.29,-5.54e-06,-69,-1.104e-05,-69,-1.389e-06,-69
1.3,-5.6e-06,-69,-1.118e-05,-69,-1.409e-06,-69
1.31,-5.67e-06,-69,-1.131e-05,-69,-1.425e-06,-69
1.32,-5.73e-06,-69,-1.144e-05,-69,-1.447e-06,-69
1.33,-5.79e-06,-69,-1.156e-05,-69,-1.461e-06,-69
1.34,-5.86e-06,-69,-1.17e-05,-69,-1.479e-06,-69
1.35,-5.92e-06,-69,-1.183e-05,-69,-1.498e-06,-69
1.36,-5.98e-06,-69,-1.195e-05,-69,-1.515e-06,-69
1.37,-6.05e-06,-69,-1.208e-05,-69,-1.532e-06,-69
1.38,-6.11e-06,-69,-1.22e-05,-69,-1.553e-06,-69
1.39,-6.18e-06,-69,-1.231e-05,-69,-1.566e-06,-69
1.4,-6.24e-06,-69,-1.244e-05,-69,-1.58e-06,-69
1.41,-6.3e-06,-69,-1.257e-05,-69,-1.598e-06,-69
1.42,-6.36e-06,-69,-1.268e-05,-69,-1.614e-06,-69
1.43,-6.43e-06,-69,-1.281e-05,-69,-1.628e-06,-69
1.44,-6.49e-06,-69,-1.294e-05,-69,-1.645e-06,-69
1.45,-6.56e-06,-69,-1.304e-05,-69,-1.659e-06,-69
1.46,-6.62e-06,-69,-1.317e-05,-69,-1.675e-06,-69
1.47,-6.68e-06,-69,-1.328e-05,-69,-1.691e-06,-69
1.48,-6.74e-06,-69,-1.338e-05,-69,-1.704e-06,-69
1.49,-6.8e-06,-69,-1.351e-05,-69,-1.72e-06,-69
1.5,-6.86e-06,-69,-1.364e-05,-69,-1.733e-06,-69
1.51,-6.92e-06,-69,-1.374e-05,-69,-1.753e-06,-69
1.52,-6.98e-06,-69,-1.386e-05,-69,-1.763e-06,-69
1.53,-7.03e-06,-69,-1.399e-05,-69,-1.776e-06,-69
1.54,-7.08e-06,-69,-1.41e-05,-69,-1.791e-06,-69
1.55,-7.15e-06,-69,-1.422e-05,-69,-1.806e-06,-69
1.56,-7.21e-06,-69,-1.433e-05,-69,-1.818e-06,-69
1.57,-7.27e-06,-69,-1.444e-05,-69,-1.831e-06,-69
1.58,-7.33e-06,-69,-1.456e-05,-69,-1.843e-06,-69
1.59,-7.38e-06,-69,-1.467e-05,-69,-1.856e-06,-69
1.6,-7.44e-06,-69,-1.477e-05,-69,-1.87e-06,-69
1.61,-7.49e-06,-69,-1.488e-05,-69,-1.885e-06,-69
1.62,-7.54e-06,-69,-1.5e-05,-69,-1.899e-06,-69
1.63,-7.61e-06,-69,-1.51e-05,-69,-1.909e-06,-69
1.64,-7.66e-06,-69,-1.522e-05,-69,-1.917e-06,-69
1.65,-7.71e-06,-69,-1.533e-05,-69,-1.93e-06,-69
1.66,-7.78e-06,-69,-1.544e-05,-69,-1.941e-06,-69
1.67,-7.82e-06,-69,-1.554e-05,-69,-1.951e-06,-69
1.68,-7.87e-06,-69,-1.564e-05,-69,-1.961e-06,-69
1.69,-7.93e-06,-69,-1.574e-05,-69,-1.972e-06,-69
1.7,-7.98e-06,-69,-1.583e-05,-69,-1.984e-06,-69
1.71,-8.04e-06,-69,-1.595e-05,-69,-1.997e-06,-69
1.72,-8.09e-06,-69,-1.605e-05,-69,-2.4e-06,-69
1.73,-8.14e-06,-69,-1.614e-05,-69,-2.4e-06,-69
1.74,-8.2e-06,-69,-1.624e-05,-69,-2.41e-06,-69
1.75,-8.24e-06,-69,-1.634e-05,-69,-2.43e-06,-69
1.76,-8.3e-06,-69,-1.644e-05,-69,-2.44e-06,-69
1.77,-8.36e-06,-69,-1.657e-05,-69,-2.47e-06,-69
1.78,-8.4e-06,-69,-1.664e-05,-69,-2.48e-06,-69
1.79,-8.45e-06,-69,-1.676e-05,-69,-2.49e-06,-69
1.8,-8.51e-06,-69,-1.686e-05,-69,-2.5e-06,-69
1.81,-8.55e-06,-69,-1.696e-05,-69,-2.52e-06,-69
1.82,-8.6e-06,-69,-1.705e-05,-69,-2.53e-06,-69
1.83,-8.65e-06,-69,-1.717e-05,-69,-2.55e-06,-69
1.84,-8.69e-06,-69,-1.726e-05,-69,-2.56e-06,-69
1.85,-8.75e-06,-69,-1.733e-05,-69,-2.57e-06,-69
1.86,-8.79e-06,-69,-1.745e-05,-69,-2.59e-06,-69
1.87,-8.85e-06,-69,-1.753e-05,-69,-2.59e-06,-69
1.88,-8.89e-06,-69,-1.761e-05,-69,-2.61e-06,-69
1.89,-8.94e-06,-69,-1.773e-05,-69,-2.63e-06,-69
1.9,-9e-06,-69,-1.783e-05,-69,-2.64e-06,-69
1.91,-9.04e-06,-69,-1.794e-05,-69,-2.65e-06,-69
1.92,-9.09e-06,-69,-1.801e-05,-69,-2.66e-06,-69
1.93,-9.13e-06,-69,-1.812e-05,-69,-2.67e-06,-69
1.94,-9.18e-06,-69,-1.82e-05,-69,-2.69e-06,-69
1.95,-9.22e-06,-69,-1.829e-05,-69,-2.7e-06,-69
1.96,-9.28e-06,-69,-1.838e-05,-69,-2.71e-06,-69
1.97,-9.32e-06,-69,-1.847e-05,-69,-2.72e-06,-69
1.98,-9.36e-06,-69,-1.855e-05,-69,-2.73e-06,-69
1.99,-9.42e-06,-69,-1.863e-05,-69,-2.74e-06,-69
2.0,-9.47e-06,-69,-1.874e-05,-69,-2.76e-06,-69
2.01,-9.53e-06,-69,-1.888e-05,-69,-2.77e-06,-69
2.02,-9.57e-06,-69,-1.897e-05,-69,-2.78e-06,-69
2.03,-9.61e-06,-69,-1.906e-05,-69,-2.79e-06,-69
2.04,-9.67e-06,-69,-1.913e-05,-69,-2.8e-06,-69
2.05,-9.7e-06,-69,-1.923e-05,-69,-2.8e-06,-69
2.06,-9.74e-06,-69,-1.933e-05,-69,-2.82e-06,-69
2.07,-9.79e-06,-69,-1.941e-05,-69,-2.83e-06,-69
2.08,-9.82e-06,-69,-1.95e-05,-69,-2.83e-06,-69
2.09,-9.86e-06,-69,-1.959e-05,-69,-2.85e-06,-69
2.1,-9.91e-06,-69,-1.966e-05,-69,-2.86e-06,-69
2.11,-9.95e-06,-69,-1.975e-05,-69,-2.86e-06,-69
2.12,-1e-05,-69,-1.982e-05,-69,-2.87e-06,-69
2.13,-1.006e-05,-69,-1.992e-05,-69,-2.88e-06,-69
2.14,-1.008e-05,-69,-2e-05,-69,-2.89e-06,-69
2.15,-1.013e-05,-69,-2.22e-05,-69,-2.91e-06,-69
2.16,-1.017e-05,-69,-2.22e-05,-69,-2.91e-06,-69
2.17,-1.022e-05,-69,-2.23e-05,-69,-2.92e-06,-69
2.18,-1.027e-05,-69,-2.23e-05,-69,-2.92e-06,-69
2.19,-1.031e-05,-69,-2.25e-05,-69,-2.94e-06,-69
2.2,-1.035e-05,-69,-2.26e-05,-69,-2.94e-06,-69
2.21,-1.04e-05,-69,-2.27e-05,-69,-2.95e-06,-69
2.22,-1.043e-05,-69,-2.28e-05,-69,-2.96e-06,-69
2.23,-1.048e-05,-69,-2.29e-05,-69,-2.97e-06,-69
2.24,-1.052e-05,-69,-2.3e-05,-69,-2.98e-06,-69
2.25,-1.055e-05,-69,-2.31e-05,-69,-2.99e-06,-69
2.26,-1.058e-05,-69,-2.32e-05,-69,-2.99e-06,-69
2.27,-1.062e-05,-69,-2.33e-05,-69,-3.01e-06,-69
2.28,-1.067e-05,-69,-2.34e-05,-69,-3.01e-06,-69
2.29,-1.071e-05,-69,-2.35e-05,-69,-3.02e-06,-69
2.3,-1.075e-05,-69,-2.36e-05,-69,-3.03e-06,-69
2.31,-1.079e-05,-69,-2.36e-05,-69,-3.03e-06,-69
2.32,-1.083e-05,-69,-2.38e-05,-69,-3.03e-06,-69
2.33,-1.087e-05,-69,-2.38e-05,-69,-3.04e-06,-69
2.34,-1.092e-05,-69,-2.39e-05,-69,-3.04e-06,-69
2.35,-1.095e-05,-69,-2.4e-05,-69,-3.06e-06,-69
2.36,-1.098e-05,-69,-2.41e-05,-69,-3.06e-06,-69
2.37,-1.103e-05,-69,-2.42e-05,-69,-3.07e-06,-69
2.38,-1.107e-05,-69,-2.43e-05,-69,-3.07e-06,-69
2.39,-1.11e-05,-69,-2.44e-05,-69,-3.08e-06,-69
2.4,-1.114e-05,-69,-2.45e-05,-69,-3.09e-06,-69
2.41,-1.116e-05,-69,-2.46e-05,-69,-3.09e-06,-69
2.42,-1.122e-05,-69,-2.47e-05,-69,-3.1e-06,-69
2.43,-1.126e-05,-69,-2.48e-05,-69,-3.1e-06,-69
2.44,-1.13e-05,-69,-2.49e-05,-69,-3.11e-06,-69
2.45,-1.135e-05,-69,-2.5e-05,-69,-3.12e-06,-69
2.46,-1.137e-05,-69,-2.51e-05,-69,-3.12e-06,-69
2.47,-1.141e-05,-69,-2.52e-05,-69,-3.12e-06,-69
2.48,-1.145e-05,-69,-2.53e-05,-69,-3.13e-06,-69
2.49,-1.147e-05,-69,-2.53e-05,-69,-3.14e-06,-69
2.5,-1.153e-05,-69,-2.54e-05,-69,-3.14e-06,-69
