"VGate","I_10_Single","I_dd_Single","I_10_Series","I_dd_Series","I_10_Paralle","I_dd_Parallel"
2.51,-1.156e-05,-69,-2.55e-05,-69,-3.14e-06,-69
2.52,-1.158e-05,-69,-2.56e-05,-69,-3.14e-06,-69
2.53,-1.165e-05,-69,-2.57e-05,-69,-3.15e-06,-69
2.54,-1.166e-05,-69,-2.58e-05,-69,-3.15e-06,-69
2.55,-1.169e-05,-69,-2.58e-05,-69,-3.16e-06,-69
2.56,-1.173e-05,-69,-2.6e-05,-69,-3.16e-06,-69
2.57,-1.177e-05,-69,-2.61e-05,-69,-3.17e-06,-69
2.58,-1.178e-05,-69,-2.62e-05,-69,-3.17e-06,-69
2.59,-1.184e-05,-69,-2.62e-05,-69,-3.17e-06,-69
2.6,-1.188e-05,-69,-2.63e-05,-69,-3.18e-06,-69
2.61,-1.19e-05,-69,-2.64e-05,-69,-3.18e-06,-69
2.62,-1.193e-05,-69,-2.65e-05,-69,-3.18e-06,-69
2.63,-1.197e-05,-69,-2.66e-05,-69,-3.19e-06,-69
2.64,-1.2e-05,-69,-2.67e-05,-69,-3.19e-06,-69
2.65,-1.205e-05,-69,-2.68e-05,-69,-3.19e-06,-69
2.66,-1.208e-05,-69,-2.68e-05,-69,-3.2e-06,-69
2.67,-1.211e-05,-69,-2.69e-05,-69,-3.2e-06,-69
2.68,-1.215e-05,-69,-2.7e-05,-69,-3.2e-06,-69
2.69,-1.217e-05,-69,-2.71e-05,-69,-3.2e-06,-69
2.7,-1.221e-05,-69,-2.72e-05,-69,-3.21e-06,-69
2.71,-1.225e-05,-69,-2.73e-05,-69,-3.2e-06,-69
2.72,-1.226e-05,-69,-2.74e-05,-69,-3.21e-06,-69
2.73,-1.231e-05,-69,-2.74e-05,-69,-3.21e-06,-69
2.74,-1.234e-05,-69,-2.75e-05,-69,-3.21e-06,-69
2.75,-1.237e-05,-69,-2.76e-05,-69,-3.21e-06,-69
2.76,-1.24e-05,-69,-2.77e-05,-69,-3.2e-06,-69
2.77,-1.243e-05,-69,-2.78e-05,-69,-3.21e-06,-69
2.78,-1.247e-05,-69,-2.78e-05,-69,-3.21e-06,-69
2.79,-1.25e-05,-69,-2.8e-05,-69,-3.21e-06,-69
2.8,-1.253e-05,-69,-2.81e-05,-69,-3.21e-06,-69
2.81,-1.257e-05,-69,-2.81e-05,-69,-3.21e-06,-69
2.82,-1.259e-05,-69,-2.82e-05,-69,-3.21e-06,-69
2.83,-1.262e-05,-69,-2.83e-05,-69,-3.22e-06,-69
2.84,-1.266e-05,-69,-2.84e-05,-69,-3.23e-06,-69
2.85,-1.269e-05,-69,-2.84e-05,-69,-3.21e-06,-69
2.86,-1.271e-05,-69,-2.86e-05,-69,-3.22e-06,-69
2.87,-1.275e-05,-69,-2.86e-05,-69,-3.22e-06,-69
2.88,-1.277e-05,-69,-2.87e-05,-69,-3.22e-06,-69
2.89,-1.279e-05,-69,-2.88e-05,-69,-3.21e-06,-69
2.9,-1.281e-05,-69,-2.89e-05,-69,-3.21e-06,-69
2.91,-1.285e-05,-69,-2.89e-05,-69,-3.22e-06,-69
2.92,-1.288e-05,-69,-2.9e-05,-69,-3.21e-06,-69
2.93,-1.291e-05,-69,-2.91e-05,-69,-3.2e-06,-69
2.94,-1.294e-05,-69,-2.92e-05,-69,-3.2e-06,-69
2.95,-1.296e-05,-69,-2.93e-05,-69,-3.2e-06,-69
2.96,-1.301e-05,-69,-2.93e-05,-69,-3.2e-06,-69
2.97,-1.303e-05,-69,-2.94e-05,-69,-3.19e-06,-69
2.98,-1.307e-05,-69,-2.95e-05,-69,-3.2e-06,-69
2.99,-1.31e-05,-69,-2.96e-05,-69,-3.2e-06,-69
3.0,-1.315e-05,-69,-2.97e-05,-69,-3.2e-06,-69
3.01,-1.316e-05,-69,-2.97e-05,-69,-3.2e-06,-69
3.02,-1.32e-05,-69,-2.98e-05,-69,-3.19e-06,-69
3.03,-1.321e-05,-69,-2.99e-05,-69,-3.19e-06,-69
3.04,-1.324e-05,-69,-3e-05,-69,-3.19e-06,-69
3.05,-1.326e-05,-69,-3e-05,-69,-3.19e-06,-69
3.06,-1.329e-05,-69,-3.01e-05,-69,-3.19e-06,-69
3.07,-1.333e-05,-69,-3.02e-05,-69,-3.19e-06,-69
3.08,-1.335e-05,-69,-3.03e-05,-69,-3.19e-06,-69
3.09,-1.336e-05,-69,-3.03e-05,-69,-3.19e-06,-69
3.1,-1.34e-05,-69,-3.04e-05,-69,-3.19e-06,-69
3.11,-1.343e-05,-69,-3.05e-05,-69,-3.19e-06,-69
3.12,-1.346e-05,-69,-3.06e-05,-69,-3.18e-06,-69
3.13,-1.348e-05,-69,-3.06e-05,-69,-3.18e-06,-69
3.14,-1.35e-05,-69,-3.07e-05,-69,-3.17e-06,-69
3.15,-1.353e-05,-69,-3.08e-05,-69,-3.17e-06,-69
3.16,-1.355e-05,-69,-3.09e-05,-69,-3.16e-06,-69
3.17,-1.359e-05,-69,-3.09e-05,-69,-3.16e-06,-69
3.18,-1.362e-05,-69,-3.1e-05,-69,-3.16e-06,-69
3.19,-1.365e-05,-69,-3.1e-05,-69,-3.15e-06,-69
3.2,-1.366e-05,-69,-3.11e-05,-69,-3.15e-06,-69
3.21,-1.37e-05,-69,-3.12e-05,-69,-3.15e-06,-69
3.22,-1.373e-05,-69,-3.13e-05,-69,-3.14e-06,-69
3.23,-1.373e-05,-69,-3.14e-05,-69,-3.14e-06,-69
3.24,-1.377e-05,-69,-3.15e-05,-69,-3.13e-06,-69
3.25,-1.379e-05,-69,-3.15e-05,-69,-3.13e-06,-69
3.26,-1.383e-05,-69,-3.16e-05,-69,-3.12e-06,-69
3.27,-1.384e-05,-69,-3.17e-05,-69,-3.13e-06,-69
3.28,-1.386e-05,-69,-3.18e-05,-69,-3.12e-06,-69
3.29,-1.388e-05,-69,-3.18e-05,-69,-3.12e-06,-69
3.3,-1.391e-05,-69,-3.18e-05,-69,-3.1e-06,-69
3.31,-1.393e-05,-69,-3.19e-05,-69,-3.1e-06,-69
3.32,-1.395e-05,-69,-3.21e-05,-69,-3.1e-06,-69
3.33,-1.398e-05,-69,-3.21e-05,-69,-3.09e-06,-69
3.34,-1.401e-05,-69,-3.22e-05,-69,-3.08e-06,-69
3.35,-1.402e-05,-69,-3.22e-05,-69,-3.08e-06,-69
3.36,-1.406e-05,-69,-3.23e-05,-69,-3.08e-06,-69
3.37,-1.408e-05,-69,-3.24e-05,-69,-3.07e-06,-69
3.38,-1.41e-05,-69,-3.25e-05,-69,-3.06e-06,-69
3.39,-1.409e-05,-69,-3.26e-05,-69,-3.05e-06,-69
3.4,-1.415e-05,-69,-3.26e-05,-69,-3.06e-06,-69
3.41,-1.415e-05,-69,-3.26e-05,-69,-3.05e-06,-69
3.42,-1.417e-05,-69,-3.27e-05,-69,-3.05e-06,-69
3.43,-1.421e-05,-69,-3.28e-05,-69,-3.04e-06,-69
3.44,-1.423e-05,-69,-3.29e-05,-69,-3.04e-06,-69
3.45,-1.424e-05,-69,-3.29e-05,-69,-3.02e-06,-69
3.46,-1.425e-05,-69,-3.3e-05,-69,-3.02e-06,-69
3.47,-1.427e-05,-69,-3.31e-05,-69,-3.02e-06,-69
3.48,-1.428e-05,-69,-3.32e-05,-69,-3e-06,-69
3.49,-1.431e-05,-69,-3.32e-05,-69,-2.99e-06,-69
3.5,-1.434e-05,-69,-3.32e-05,-69,-2.99e-06,-69
3.51,-1.438e-05,-69,-3.33e-05,-69,-2.99e-06,-69
3.52,-1.439e-05,-69,-3.34e-05,-69,-2.98e-06,-69
3.53,-1.443e-05,-69,-3.35e-05,-69,-2.97e-06,-69
3.54,-1.446e-05,-69,-3.35e-05,-69,-2.97e-06,-69
3.55,-1.447e-05,-69,-3.36e-05,-69,-2.96e-06,-69
3.56,-1.447e-05,-69,-3.37e-05,-69,-2.96e-06,-69
3.57,-1.45e-05,-69,-3.37e-05,-69,-2.94e-06,-69
3.58,-1.453e-05,-69,-3.38e-05,-69,-2.94e-06,-69
3.59,-1.454e-05,-69,-3.39e-05,-69,-2.92e-06,-69
3.6,-1.458e-05,-69,-3.39e-05,-69,-2.93e-06,-69
3.61,-1.458e-05,-69,-3.4e-05,-69,-2.91e-06,-69
3.62,-1.46e-05,-69,-3.41e-05,-69,-2.9e-06,-69
3.63,-1.463e-05,-69,-3.41e-05,-69,-2.88e-06,-69
3.64,-1.463e-05,-69,-3.42e-05,-69,-2.88e-06,-69
3.65,-1.467e-05,-69,-3.42e-05,-69,-2.87e-06,-69
3.66,-1.467e-05,-69,-3.42e-05,-69,-2.86e-06,-69
3.67,-1.472e-05,-69,-3.43e-05,-69,-2.86e-06,-69
3.68,-1.474e-05,-69,-3.44e-05,-69,-2.84e-06,-69
3.69,-1.473e-05,-69,-3.44e-05,-69,-2.82e-06,-69
3.7,-1.476e-05,-69,-3.45e-05,-69,-2.81e-06,-69
3.71,-1.478e-05,-69,-3.46e-05,-69,-2.8e-06,-69
3.72,-1.48e-05,-69,-3.46e-05,-69,-2.79e-06,-69
3.73,-1.481e-05,-69,-3.47e-05,-69,-2.79e-06,-69
3.74,-1.482e-05,-69,-3.48e-05,-69,-2.78e-06,-69
3.75,-1.484e-05,-69,-3.48e-05,-69,-2.78e-06,-69
3.76,-1.485e-05,-69,-3.49e-05,-69,-2.75e-06,-69
3.77,-1.489e-05,-69,-3.5e-05,-69,-2.75e-06,-69
3.78,-1.491e-05,-69,-3.5e-05,-69,-2.74e-06,-69
3.79,-1.491e-05,-69,-3.51e-05,-69,-2.73e-06,-69
3.8,-1.494e-05,-69,-3.51e-05,-69,-2.73e-06,-69
3.81,-1.497e-05,-69,-3.52e-05,-69,-2.72e-06,-69
3.82,-1.498e-05,-69,-3.52e-05,-69,-2.7e-06,-69
3.83,-1.499e-05,-69,-3.53e-05,-69,-2.7e-06,-69
3.84,-1.5e-05,-69,-3.54e-05,-69,-2.69e-06,-69
3.85,-1.502e-05,-69,-3.55e-05,-69,-2.67e-06,-69
3.86,-1.505e-05,-69,-3.55e-05,-69,-2.65e-06,-69
3.87,-1.506e-05,-69,-3.56e-05,-69,-2.65e-06,-69
3.88,-1.506e-05,-69,-3.57e-05,-69,-2.63e-06,-69
3.89,-1.51e-05,-69,-3.57e-05,-69,-2.62e-06,-69
3.9,-1.512e-05,-69,-3.57e-05,-69,-2.61e-06,-69
3.91,-1.513e-05,-69,-3.58e-05,-69,-2.59e-06,-69
3.92,-1.516e-05,-69,-3.58e-05,-69,-2.59e-06,-69
3.93,-1.516e-05,-69,-3.59e-05,-69,-2.57e-06,-69
3.94,-1.516e-05,-69,-3.59e-05,-69,-2.55e-06,-69
3.95,-1.52e-05,-69,-3.6e-05,-69,-2.55e-06,-69
3.96,-1.521e-05,-69,-3.6e-05,-69,-2.52e-06,-69
3.97,-1.522e-05,-69,-3.61e-05,-69,-2.51e-06,-69
3.98,-1.524e-05,-69,-3.61e-05,-69,-2.51e-06,-69
3.99,-1.524e-05,-69,-3.62e-05,-69,-2.49e-06,-69
4.0,-1.526e-05,-69,-3.63e-05,-69,-2.48e-06,-69
4.01,-1.53e-05,-69,-3.64e-05,-69,-2.44e-06,-69
4.02,-1.531e-05,-69,-3.65e-05,-69,-2.43e-06,-69
4.03,-1.532e-05,-69,-3.66e-05,-69,-2.41e-06,-69
4.04,-1.533e-05,-69,-3.66e-05,-69,-2.4e-06,-69
4.05,-1.537e-05,-69,-3.67e-05,-69,-2.39e-06,-69
4.06,-1.538e-05,-69,-3.67e-05,-69,-2.37e-06,-69
4.07,-1.538e-05,-69,-3.68e-05,-69,-2.35e-06,-69
4.08,-1.541e-05,-69,-3.68e-05,-69,-2.34e-06,-69
4.09,-1.543e-05,-69,-3.68e-05,-69,-2.32e-06,-69
4.1,-1.544e-05,-69,-3.69e-05,-69,-2.31e-06,-69
4.11,-1.546e-05,-69,-3.69e-05,-69,-2.3e-06,-69
4.12,-1.548e-05,-69,-3.7e-05,-69,-2.29e-06,-69
4.13,-1.549e-05,-69,-3.71e-05,-69,-2.28e-06,-69
4.14,-1.547e-05,-69,-3.71e-05,-69,-2.26e-06,-69
4.15,-1.55e-05,-69,-3.72e-05,-69,-2.25e-06,-69
4.16,-1.55e-05,-69,-3.72e-05,-69,-2.24e-06,-69
4.17,-1.553e-05,-69,-3.74e-05,-69,-2.22e-06,-69
4.18,-1.551e-05,-69,-3.74e-05,-69,-2.19e-06,-69
4.19,-1.553e-05,-69,-3.74e-05,-69,-2.18e-06,-69
4.2,-1.556e-05,-69,-3.75e-05,-69,-2.16e-06,-69
4.21,-1.557e-05,-69,-3.75e-05,-69,-2.14e-06,-69
4.22,-1.56e-05,-69,-3.75e-05,-69,-2.13e-06,-69
4.23,-1.56e-05,-69,-3.76e-05,-69,-2.11e-06,-69
4.24,-1.562e-05,-69,-3.77e-05,-69,-2.11e-06,-69
4.25,-1.562e-05,-69,-3.77e-05,-69,-2.09e-06,-69
4.26,-1.564e-05,-69,-3.78e-05,-69,-2.06e-06,-69
4.27,-1.563e-05,-69,-3.78e-05,-69,-2.06e-06,-69
4.28,-1.565e-05,-69,-3.79e-05,-69,-2.03e-06,-69
4.29,-1.567e-05,-69,-3.79e-05,-69,-2.01e-06,-69
4.3,-1.566e-05,-69,-3.8e-05,-69,-2e-06,-69
4.31,-1.568e-05,-69,-3.8e-05,-69,-1.99e-06,-69
4.32,-1.568e-05,-69,-3.81e-05,-69,-1.96e-06,-69
4.33,-1.571e-05,-69,-3.82e-05,-69,-1.96e-06,-69
4.34,-1.574e-05,-69,-3.82e-05,-69,-1.93e-06,-69
4.35,-1.575e-05,-69,-3.82e-05,-69,-1.92e-06,-69
4.36,-1.576e-05,-69,-3.83e-05,-69,-1.91e-06,-69
4.37,-1.577e-05,-69,-3.83e-05,-69,-1.87e-06,-69
4.38,-1.578e-05,-69,-3.83e-05,-69,-1.87e-06,-69
4.39,-1.579e-05,-69,-3.83e-05,-69,-1.85e-06,-69
4.4,-1.579e-05,-69,-3.84e-05,-69,-1.84e-06,-69
4.41,-1.58e-05,-69,-3.84e-05,-69,-1.81e-06,-69
4.42,-1.58e-05,-69,-3.85e-05,-69,-1.8e-06,-69
4.43,-1.582e-05,-69,-3.86e-05,-69,-1.79e-06,-69
4.44,-1.582e-05,-69,-3.86e-05,-69,-1.77e-06,-69
4.45,-1.584e-05,-69,-3.87e-05,-69,-1.73e-06,-69
4.46,-1.586e-05,-69,-3.87e-05,-69,-1.72e-06,-69
4.47,-1.586e-05,-69,-3.88e-05,-69,-1.71e-06,-69
4.48,-1.589e-05,-69,-3.88e-05,-69,-1.69e-06,-69
4.49,-1.587e-05,-69,-3.89e-05,-69,-1.66e-06,-69
4.5,-1.588e-05,-69,-3.89e-05,-69,-1.64e-06,-69
4.51,-1.589e-05,-69,-3.9e-05,-69,-1.63e-06,-69
4.52,-1.589e-05,-69,-3.91e-05,-69,-1.6e-06,-69
4.53,-1.591e-05,-69,-3.91e-05,-69,-1.58e-06,-69
4.54,-1.594e-05,-69,-3.91e-05,-69,-1.55e-06,-69
4.55,-1.594e-05,-69,-3.92e-05,-69,-1.55e-06,-69
4.56,-1.596e-05,-69,-3.93e-05,-69,-1.53e-06,-69
4.57,-1.597e-05,-69,-3.91e-05,-69,-1.49e-06,-69
4.58,-1.595e-05,-69,-3.92e-05,-69,-1.47e-06,-69
4.59,-1.597e-05,-69,-3.92e-05,-69,-1.46e-06,-69
4.6,-1.599e-05,-69,-3.92e-05,-69,-1.43e-06,-69
4.61,-1.598e-05,-69,-3.93e-05,-69,-1.42e-06,-69
4.62,-1.599e-05,-69,-3.93e-05,-69,-1.39e-06,-69
4.63,-1.6e-05,-69,-3.94e-05,-69,-1.37e-06,-69
4.64,-1.601e-05,-69,-3.94e-05,-69,-1.36e-06,-69
4.65,-1.603e-05,-69,-3.94e-05,-69,-1.33e-06,-69
4.66,-1.605e-05,-69,-3.96e-05,-69,-1.3e-06,-69
4.67,-1.605e-05,-69,-3.96e-05,-69,-1.29e-06,-69
4.68,-1.605e-05,-69,-3.96e-05,-69,-1.27e-06,-69
4.69,-1.604e-05,-69,-3.97e-05,-69,-1.24e-06,-69
4.7,-1.604e-05,-69,-3.97e-05,-69,-1.2e-06,-69
4.71,-1.606e-05,-69,-3.97e-05,-69,-1.18e-06,-69
4.72,-1.607e-05,-69,-3.98e-05,-69,-1.17e-06,-69
4.73,-1.604e-05,-69,-3.98e-05,-69,-1.15e-06,-69
4.74,-1.607e-05,-69,-3.98e-05,-69,-1.12e-06,-69
4.75,-1.606e-05,-69,-3.99e-05,-69,-1.11e-06,-69
4.76,-1.607e-05,-69,-3.99e-05,-69,-1.07e-06,-69
4.77,-1.608e-05,-69,-3.99e-05,-69,-1.05e-06,-69
4.78,-1.608e-05,-69,-4e-05,-69,-1.04e-06,-69
4.79,-1.61e-05,-69,-4e-05,-69,-1.02e-06,-69
4.8,-1.61e-05,-69,-4.01e-05,-69,-1e-06,-69
4.81,-1.61e-05,-69,-4.01e-05,-69,-6.47e-07,-69
4.82,-1.612e-05,-69,-4.01e-05,-69,-6.26e-07,-69
4.83,-1.612e-05,-69,-4.02e-05,-69,-6.17e-07,-69
4.84,-1.611e-05,-69,-4.02e-05,-69,-5.98e-07,-69
4.85,-1.61e-05,-69,-4.02e-05,-69,-5.81e-07,-69
4.86,-1.609e-05,-69,-4.03e-05,-69,-5.67e-07,-69
4.87,-1.611e-05,-69,-4.03e-05,-69,-5.49e-07,-69
4.88,-1.61e-05,-69,-4.04e-05,-69,-5.27e-07,-69
4.89,-1.611e-05,-69,-4.04e-05,-69,-5.18e-07,-69
4.9,-1.613e-05,-69,-4.04e-05,-69,-4.95e-07,-69
4.91,-1.613e-05,-69,-4.05e-05,-69,-4.74e-07,-69
4.92,-1.613e-05,-69,-4.06e-05,-69,-4.67e-07,-69
4.93,-1.616e-05,-69,-4.06e-05,-69,-4.5e-07,-69
4.94,-1.615e-05,-69,-4.06e-05,-69,-4.35e-07,-69
4.95,-1.616e-05,-69,-4.07e-05,-69,-4.21e-07,-69
4.96,-1.617e-05,-69,-4.07e-05,-69,-4.01e-07,-69
4.97,-1.62e-05,-69,-4.07e-05,-69,-3.95e-07,-69
4.98,-1.615e-05,-69,-4.07e-05,-69,-3.67e-07,-69
4.99,-1.617e-05,-69,-4.08e-05,-69,-3.54e-07,-69
5.0,-1.614e-05,-69,-4.08e-05,-69,-3.35e-07,-69
